observer,real_thief,victim,time_testimony,time_crime,place_observer,place_theft,vision_perturb,observed_thief,memory_perturb,memorized_thief,veracity_perturb,testified_thief,run
2.0,"(2, 0, 0)",9.0,80.0,54.0,"(7, 43)","(13, 17)",False,"(2, 0, 0)",True,"(2, 2, 0)",True,"(2, 2, 0)",31
6.0,"(2, 2, 0)",2.0,80.0,5.0,"(14, 15)","(14, 32)",False,"(2, 2, 0)",False,"(2, 2, 0)",True,"(2, 2, 0)",32
6.0,"(1, 2, 2)",9.0,80.0,41.0,"(14, 15)","(42, 0)",False,"(1, 2, 2)",False,"(1, 2, 2)",False,"(1, 2, 2)",32
0.0,"(2, 2, 1)",4.0,80.0,8.0,"(31, 29)","(20, 37)",False,"(2, 2, 1)",True,"(2, 0, 1)",True,"(0, 0, 2)",33
1.0,"(2, 2, 1)",4.0,80.0,8.0,"(12, 7)","(20, 37)",False,"(2, 2, 1)",False,"(2, 2, 1)",True,"(2, 2, 2)",33
6.0,"(0, 1, 1)",8.0,80.0,14.0,"(34, 31)","(23, 37)",False,"(0, 1, 1)",True,"(0, 2, 2)",True,"(0, 2, 2)",33
4.0,"(0, 0, 1)",3.0,80.0,62.0,"(11, 7)","(13, 12)",False,"(0, 0, 1)",False,"(0, 0, 1)",False,"(0, 0, 1)",33
4.0,"(0, 0, 1)",0.0,80.0,62.0,"(11, 7)","(13, 12)",False,"(0, 0, 1)",True,"(0, 1, 1)",False,"(0, 1, 1)",33
2.0,"(2, 0, 2)",8.0,80.0,9.0,"(30, 31)","(33, 22)",False,"(2, 0, 2)",True,"(2, 1, 1)",False,"(2, 1, 1)",34
5.0,"(2, 0, 2)",8.0,80.0,9.0,"(30, 48)","(33, 22)",False,"(2, 0, 2)",False,"(2, 0, 2)",False,"(2, 0, 2)",34
9.0,"(2, 0, 2)",8.0,80.0,9.0,"(31, 37)","(33, 22)",False,"(2, 0, 2)",True,"(2, 0, 2)",False,"(2, 0, 2)",34
9.0,"(2, 0, 2)",8.0,80.0,9.0,"(31, 37)","(33, 22)",False,"(2, 0, 2)",True,"(2, 0, 2)",True,"(2, 0, 0)",34
5.0,"(2, 2, 2)",2.0,80.0,12.0,"(30, 48)","(31, 26)",False,"(2, 2, 2)",False,"(2, 2, 2)",True,"(2, 2, 0)",34
9.0,"(2, 2, 2)",2.0,80.0,12.0,"(31, 37)","(31, 26)",False,"(2, 2, 2)",True,"(2, 2, 2)",True,"(2, 2, 2)",34
9.0,"(2, 2, 2)",2.0,80.0,12.0,"(31, 37)","(31, 26)",False,"(2, 2, 2)",False,"(2, 2, 2)",False,"(2, 2, 2)",34
5.0,"(1, 1, 0)",4.0,80.0,13.0,"(30, 48)","(31, 26)",False,"(1, 1, 0)",False,"(1, 1, 0)",True,"(1, 1, 0)",34
7.0,"(2, 2, 2)",0.0,80.0,26.0,"(6, 46)","(44, 24)",False,"(2, 2, 2)",True,"(2, 1, 2)",True,"(1, 1, 1)",34
7.0,"(0, 0, 0)",3.0,80.0,65.0,"(6, 46)","(16, 39)",False,"(0, 0, 0)",False,"(0, 0, 0)",False,"(0, 0, 0)",34
4.0,"(1, 0, 0)",6.0,80.0,67.0,"(30, 32)","(18, 37)",False,"(1, 0, 0)",True,"(1, 1, 0)",False,"(1, 1, 0)",34
4.0,"(1, 1, 0)",0.0,80.0,9.0,"(37, 11)","(26, 20)",False,"(1, 1, 0)",False,"(1, 1, 0)",False,"(1, 1, 0)",35
5.0,"(1, 1, 0)",0.0,80.0,9.0,"(37, 5)","(26, 20)",False,"(1, 1, 0)",False,"(1, 1, 0)",False,"(1, 1, 0)",35
0.0,"(0, 1, 0)",8.0,80.0,23.0,"(11, 38)","(37, 25)",False,"(0, 1, 0)",True,"(1, 1, 2)",False,"(1, 1, 2)",35
4.0,"(0, 1, 0)",8.0,80.0,23.0,"(37, 11)","(37, 25)",False,"(0, 1, 0)",True,"(0, 2, 0)",False,"(0, 2, 0)",35
5.0,"(0, 1, 0)",8.0,80.0,23.0,"(37, 5)","(37, 25)",False,"(0, 1, 0)",False,"(0, 1, 0)",True,"(0, 1, 2)",35
9.0,"(0, 1, 0)",8.0,80.0,23.0,"(37, 11)","(37, 25)",False,"(0, 1, 0)",True,"(0, 0, 0)",False,"(0, 0, 0)",35
9.0,"(0, 1, 0)",8.0,80.0,23.0,"(37, 11)","(37, 25)",True,"(0, 1, 0)",False,"(0, 1, 0)",True,"(2, 1, 1)",35
5.0,"(0, 2, 1)",1.0,80.0,24.0,"(37, 5)","(37, 25)",False,"(0, 2, 1)",False,"(0, 2, 1)",False,"(0, 2, 1)",35
9.0,"(0, 0, 2)",4.0,80.0,9.0,"(27, 36)","(33, 15)",True,"(0, 0, 2)",True,"(0, 1, 2)",False,"(0, 1, 2)",36
3.0,"(0, 1, 2)",7.0,80.0,11.0,"(26, 35)","(9, 35)",False,"(0, 1, 2)",False,"(0, 1, 2)",False,"(0, 1, 2)",36
3.0,"(2, 1, 2)",0.0,80.0,11.0,"(26, 35)","(9, 35)",False,"(2, 1, 2)",False,"(2, 1, 2)",True,"(2, 1, 0)",36
3.0,"(1, 1, 0)",2.0,80.0,32.0,"(26, 35)","(8, 15)",False,"(1, 1, 0)",False,"(1, 1, 0)",True,"(1, 1, 0)",36
6.0,"(1, 0, 1)",8.0,80.0,33.0,"(26, 35)","(8, 15)",False,"(1, 0, 1)",False,"(1, 0, 1)",True,"(1, 0, 2)",36
7.0,"(0, 0, 0)",1.0,80.0,18.0,"(21, 36)","(19, 11)",False,"(0, 0, 0)",False,"(0, 0, 0)",False,"(0, 0, 0)",37
7.0,"(0, 2, 2)",6.0,80.0,18.0,"(21, 36)","(19, 11)",False,"(0, 2, 2)",True,"(0, 0, 2)",False,"(0, 0, 2)",37
9.0,"(0, 0, 0)",1.0,80.0,18.0,"(34, 38)","(19, 11)",False,"(0, 0, 0)",True,"(0, 1, 0)",False,"(0, 1, 0)",37
9.0,"(0, 2, 2)",6.0,80.0,18.0,"(34, 38)","(19, 11)",False,"(0, 2, 2)",True,"(0, 0, 2)",False,"(0, 0, 2)",37
9.0,"(0, 0, 0)",1.0,80.0,18.0,"(34, 38)","(19, 11)",True,"(2, 0, 0)",False,"(2, 0, 0)",False,"(2, 0, 0)",37
9.0,"(0, 2, 2)",6.0,80.0,18.0,"(34, 38)","(19, 11)",False,"(0, 2, 2)",True,"(0, 2, 2)",False,"(0, 2, 2)",37
2.0,"(0, 2, 2)",9.0,80.0,24.0,"(35, 40)","(24, 11)",False,"(0, 2, 2)",False,"(0, 2, 2)",False,"(0, 2, 2)",37
2.0,"(2, 0, 2)",7.0,80.0,24.0,"(35, 40)","(24, 11)",False,"(2, 0, 2)",True,"(2, 0, 2)",False,"(2, 0, 2)",37
4.0,"(1, 0, 1)",8.0,80.0,11.0,"(39, 41)","(29, 25)",False,"(1, 0, 1)",False,"(1, 0, 1)",True,"(1, 0, 0)",38
1.0,"(1, 0, 1)",5.0,80.0,36.0,"(45, 31)","(14, 18)",False,"(1, 0, 1)",False,"(1, 0, 1)",False,"(1, 0, 1)",38
4.0,"(2, 2, 0)",1.0,80.0,40.0,"(39, 41)","(17, 18)",False,"(2, 2, 0)",True,"(0, 2, 0)",True,"(0, 2, 0)",38
8.0,"(2, 2, 0)",1.0,80.0,40.0,"(12, 10)","(17, 18)",False,"(2, 2, 0)",False,"(2, 2, 0)",False,"(2, 2, 0)",38
7.0,"(2, 1, 2)",4.0,80.0,43.0,"(20, 22)","(19, 18)",False,"(2, 1, 2)",False,"(2, 1, 2)",True,"(0, 0, 2)",38
5.0,"(0, 1, 2)",1.0,80.0,17.0,"(25, 2)","(21, 42)",False,"(0, 1, 2)",True,"(0, 1, 2)",True,"(1, 0, 2)",39
6.0,"(0, 0, 0)",8.0,80.0,31.0,"(20, 40)","(16, 33)",False,"(0, 0, 0)",True,"(0, 0, 0)",True,"(0, 0, 2)",39
6.0,"(1, 0, 2)",9.0,80.0,31.0,"(20, 40)","(16, 33)",False,"(1, 0, 2)",False,"(1, 0, 2)",True,"(1, 0, 1)",39
0.0,"(1, 1, 1)",7.0,80.0,17.0,"(33, 27)","(17, 26)",False,"(1, 1, 1)",False,"(1, 1, 1)",True,"(1, 1, 1)",40
3.0,"(1, 1, 1)",7.0,80.0,17.0,"(47, 30)","(17, 26)",False,"(1, 1, 1)",False,"(1, 1, 1)",True,"(2, 1, 1)",40
5.0,"(1, 1, 1)",7.0,80.0,17.0,"(44, 48)","(17, 26)",False,"(1, 1, 1)",False,"(1, 1, 1)",False,"(1, 1, 1)",40
5.0,"(1, 2, 0)",9.0,80.0,10.0,"(34, 36)","(25, 35)",False,"(1, 2, 0)",True,"(2, 0, 0)",False,"(2, 0, 0)",41
5.0,"(1, 1, 1)",2.0,80.0,15.0,"(34, 36)","(28, 35)",False,"(1, 1, 1)",True,"(1, 0, 1)",False,"(1, 0, 1)",41
0.0,"(1, 1, 1)",3.0,80.0,58.0,"(32, 36)","(13, 34)",False,"(1, 1, 1)",False,"(1, 1, 1)",False,"(1, 1, 1)",41
0.0,"(1, 1, 1)",4.0,80.0,70.0,"(32, 36)","(24, 36)",False,"(1, 1, 1)",False,"(1, 1, 1)",False,"(1, 1, 1)",41
3.0,"(1, 1, 1)",4.0,80.0,70.0,"(33, 36)","(24, 36)",False,"(1, 1, 1)",False,"(1, 1, 1)",True,"(1, 1, 1)",41
7.0,"(1, 1, 1)",4.0,80.0,70.0,"(32, 36)","(24, 36)",False,"(1, 1, 1)",False,"(1, 1, 1)",True,"(0, 0, 1)",41
9.0,"(0, 2, 1)",3.0,80.0,21.0,"(37, 23)","(34, 24)",False,"(0, 2, 1)",False,"(0, 2, 1)",False,"(0, 2, 1)",42
9.0,"(1, 0, 0)",2.0,80.0,21.0,"(37, 23)","(34, 24)",False,"(1, 0, 0)",True,"(2, 1, 1)",False,"(2, 1, 1)",42
1.0,"(0, 2, 1)",7.0,80.0,32.0,"(23, 33)","(44, 23)",False,"(0, 2, 1)",False,"(0, 2, 1)",False,"(0, 2, 1)",42
6.0,"(0, 2, 1)",7.0,80.0,32.0,"(27, 7)","(44, 23)",False,"(0, 2, 1)",False,"(0, 2, 1)",False,"(0, 2, 1)",42
